,id,date,url,lenContent,replyCount,retweetCount,likeCount,quoteCount,lang,hasLinks,hasMedia,isRetweeted,isQuoted,viewCount,bookmarkCount,hasHashtags,userId,displayName,userDescription,verified,createDate,followerCount,friendCount,userLocation,rawContent
0,1554250988973965312,2022-08-01,https://twitter.com/Ben_Adler89/status/1554250988973965312,51,6,16,163,0,en,False,False,False,False,,0,False,911961181123997696,Ben Adler 🟦 🟧,"The best part about posting is finding and blocking morons, ignorants and MAGAts.",False,2017-09-24,132,276,MIA2ATL Still a NYer at heart,@donwinslow Not bad for a 79 year old with #Covid 😉
1,1554240722139766784,2022-08-01,https://twitter.com/B52Malmet/status/1554240722139766784,195,6,34,89,2,en,False,False,False,True,,0,False,2876041031,Barbara Malmet,"Artist, Activist, TriAthlete, Producer #GetInGoodTrouble🇺🇸",False,2014-11-14,303523,7309,"New York, NY",One man is grifting off the Saudis in their attempt to whitewash their killer reputation at his golf course in New Jersey. The other man got this done quietly while having a second bout of #COVID
2,1554229195407953920,2022-08-01,https://twitter.com/Weather_West/status/1554229195407953920,283,48,28,342,3,en,False,False,False,False,,6,False,2187906247,Daniel Swain,"Climate scientist @UCLAIoES, @C3WE_NCAR, & @Nature_Org studying extreme events like floods, droughts, & wildfires. PhD @StanfordEarth & @UCDavis alum.",False,2013-11-11,93139,3072,"Boulder, CO","#COVID personal anecdote: my (ongoing) experience with one of the latest variants (presumably BA.5) has been quite rough. Aside from intense flu-like symptoms, both members of household who have it developed near-total loss of smell &amp; taste--so that's apparently back in the mix."
3,1554208423239192577,2022-08-01,https://twitter.com/USMortality/status/1554208423239192577,222,17,374,803,44,en,False,True,False,False,,75,True,100380798,Ben M.,"Silicon Valley Software Engineer • Independent Researcher • Citizen Journalist
https://t.co/H3lPZ8oWyC • https://t.co/aWMrw5kym0 • https://t.co/X17HXEDMbI",False,2009-12-30,53443,1031,California,"Latest hospital billing data update from Germany's hospital system shows clear relationship of vaccines and myocarditis/pericarditis diagnosis also for boosters.
#Covid #Covid19 #Corona #Coronavirus https://t.co/GEcbFH5ELX"
4,1554205046052626432,2022-08-01,https://twitter.com/CindyDrukier/status/1554205046052626432,303,3,90,201,1,en,True,True,False,False,,5,False,282852993,Cindy Drukier,Snr Editor-Exec Producer; @NationSpeaksTNS host; filmmaker https://t.co/8WWEwIlYsx https://t.co/6eFwL8kDPn 🎦; @EpochTimes @NTD_News; always learning; views are my own,False,2011-04-16,2321,517,,"MDs threatened by med boards for criticizing Fauci / #COVID policy, are suing:

“Taking away board certification from a physician can…take away his ability to practice.”
—@AAPSonline Atty @SchlaflyAndy

🔥Watch @NationSpeaksTNS @EpochTVus &amp; @News_NTD 👉 https://t.co/F5k29aCLuI https://t.co/GPp1WQPq12"
5,1554147072047288320,2022-08-01,https://twitter.com/RealCarlBlair/status/1554147072047288320,247,11,25,177,1,en,True,False,False,True,,0,False,559361264,Carl Blair,"""There is naught that you can do, other than to resist, with hope or without it. But you do not stand alone.""- JRR Tolkien

#GunControlNow  #VotingRights",False,2012-04-21,1445,2542,"Houston, TX","@JohnCornyn While I wish you a speedy recovery, whenever you talk about anything #COVID related, it reminds me that this was one of your first reactions to the pandemic that's claimed over 1 million American lives Senator.

https://t.co/a0Vybbxxuf"
6,1554126833808904196,2022-08-01,https://twitter.com/YNB/status/1554126833808904196,190,65,78,1755,8,en,False,False,False,False,,4,False,23314049,yvette nicole brown,Caregiver. 💖💚 Emmy nominated💫 Spoutible: @YNB Post: @TheYNB Mastadon: @YNB@mas.to  IG: @yvettenicolebrown  #AngelaMartin on #ActYourAge on @bouncetv,False,2009-03-08,520798,3945,Fiddling with your mind,I think the quarantine time after a positive #Covid test should go back to ten days. This five days thing isn’t working especially with Paxlovid often taking folks back in for another round.
7,1554121770365358080,2022-08-01,https://twitter.com/LAUSDSup/status/1554121770365358080,304,69,23,100,4,en,False,True,False,False,,2,False,352557959,Alberto M. Carvalho,"@LASchools Superintendent, National/Urban Superintendent of the Year, McGraw prize winner. Education turned a once homeless kid into me.",False,2011-08-10,81105,1189,"Los Angeles, CA","Now that the County Health Dept announced that it wouldn't reinstitute a universal public mask mandate after marked improvements in number of #covid cases and hospitalization rates, we at @LASchools are ready to announce our updated 22-23 health protocols and protective measures. https://t.co/YZ8jKSYD9h"
8,1554104050949713920,2022-08-01,https://twitter.com/TruthJustis4USA/status/1554104050949713920,142,14,98,703,1,en,False,True,False,False,,0,True,864890182482505728,Kal - Don’t Trust - Confirm.,"If Republican voters stopped listening to what they say, and started watching how they vote, there’d be far fewer Republican voters.",False,2017-05-17,12519,759,,@mattgaetz Red with the blood of school children and those who died because of the way #DeathSantis mishandled #COVID. https://t.co/GMtSyoEaiY
9,1554103151653003264,2022-08-01,https://twitter.com/Shawn_Farash/status/1554103151653003264,159,7,84,237,9,en,False,True,False,False,,8,True,36266589,Shawn Farash ❌🐻,Captain Deplorable. Host - UNGOVERNED on LFA TV.  Constitutional Conservative. High Energy.  NY ➡️ TN. Trump's first RT on Truth Social. #unBEARables,False,2009-04-29,114438,2963,"Nashville, TN","Ask and you shall receive:

BRANDON HAS COVID PART II:

#Trump #MAGA #CaptainDeplorable #COVID #ChinaVirus #LetsGoBrandon #GetWellSoon

https://t.co/KoYmOsY1jz"
10,1554067539868663808,2022-08-01,https://twitter.com/catladyactivist/status/1554067539868663808,213,9,3,75,0,en,False,False,False,False,,1,True,1445454626522755078,Cat Herding Science Nerd 🔬,"Plant-fueled 🌱 religion-free 🕊 green/left 🌿
healthcare for all ⚕️ leave it better than you found it 🌏 equity in all things ⚖️ #CovidIsAIRBORNE 😷 #DemExit",False,2021-10-05,12780,8286,Genocide Joe's Covid Hellscape,"That #LongCovid experience where you think you're turning a corner because you finally have a few normal (ish) days, only to skid face first into soul-sucking PEM.

#COVID19 #COVID #CovidIsNotOver #COVIDisAirborne"
11,1553939606089113601,2022-08-01,https://twitter.com/markivison1956/status/1553939606089113601,202,109,727,3180,41,en,False,False,False,False,,7,True,809594717386084352,💧 Mark 1,"Old leftie. Been through Australia Party & Democrats. Happy to be called socialist. Family, music, fairness, compassion.",False,2016-12-16,554,1293,Australia,"Cabbie in Singapore just told us all Singaporians wear masks all the time, whether they have to or not, out of respect for the elderly &amp; vulnerable. Why is this so hard for us?
#Covid AGAIN 
#auspol"
12,1553938872090112000,2022-08-01,https://twitter.com/drajm/status/1553938872090112000,206,5,37,119,0,en,False,False,False,True,,6,True,148950709,Dr Miller #avoidBreathingFILTH,"President Aust Soc of Anaesthetists, AMA WA Past Pres. Columnist @WestAustralian. My tweets are political. Like, RT ≠ E. Fight to prevent disease.",False,2010-05-28,20424,10388,Whadjuk Noongar land.,"Hey Australia - now we are the ones ""not boding well"" for other countries! 

Time to control transmission, cos talk of an off-ramp or exit wave or the last year of the pandemic was all lies.

#covid #auspol"
13,1553934805842235393,2022-08-01,https://twitter.com/Shawn_Farash/status/1553934805842235393,131,12,97,378,12,en,False,True,False,False,,6,True,36266589,Shawn Farash ❌🐻,Captain Deplorable. Host - UNGOVERNED on LFA TV.  Constitutional Conservative. High Energy.  NY ➡️ TN. Trump's first RT on Truth Social. #unBEARables,False,2009-04-29,114438,2963,"Nashville, TN","BRANDON HAS COVID PART II:

#Trump #MAGA #CaptainDeplorable #COVID #ChinaVirus #LetsGoBrandon #GetWellSoon

https://t.co/KoYmOsY1jz"
14,1554576420311121923,2022-08-02,https://twitter.com/wencyleung/status/1554576420311121923,221,19,30,74,3,en,True,False,False,False,,4,False,193733661,Wency Leung,"Health reporter at The Globe and Mail, https://t.co/nyIOdgp6kG. Pronounced ""wen-see,"" she/her. 2021/22 Massey Journalism Fellow. Mastodon: @wencyleung@journa.host",False,2010-09-22,3175,1076,Toronto,"If we stay the current course, those I interviewed predict our #COVID future will look much as it does now. “What would really make things better would be political will to act.” /via @globeandmail https://t.co/xgbWYdjULD"
15,1554576118430240770,2022-08-02,https://twitter.com/B52Malmet/status/1554576118430240770,58,26,43,237,2,en,False,False,False,False,,0,False,2876041031,Barbara Malmet,"Artist, Activist, TriAthlete, Producer #GetInGoodTrouble🇺🇸",False,2014-11-14,303523,7309,"New York, NY",PSA:Do not listen to Dr. Leana Wen for advice about #COVID
16,1554564255306993665,2022-08-02,https://twitter.com/myrabatchelder/status/1554564255306993665,257,19,44,326,3,en,False,False,False,False,,3,False,87358629,Myra #KeepMasksInHealthCare,Health Policy & Advocacy. @MandateMasksUS. #LongCOVID 3/2020. #SRHRJ #VaxPlus. @Harvard @SarahLawrence alum. Frmer @NIRHealth @SIECUS & more. She/her,False,2009-11-04,16503,8369,New York ,"Whoa! @ColumbiaMed Hematology and oncology has ended all virtual visits this summer in the midst of #COVID surge!? When asked about it, the staff said they are trying to get everything ""back to normal"". This is not okay! NYC has high COVID levels right now!"
17,1554562254028214273,2022-08-02,https://twitter.com/HardDecisions/status/1554562254028214273,114,2,27,131,2,en,False,False,False,False,,5,False,1438833835945381890,Always Forward - Never Back,The only way out is through. Every emotion we have ever had has given way to another. This too shall pass. Breathe. Dream. Dare.,False,2021-09-17,366,440,Depends on your perspective,Great to see @globeandmail taking #COVID so seriously in today's articles by @BrownoftheGlobe and @picardonhealth.
