,id,date,url,lenContent,replyCount,retweetCount,likeCount,quoteCount,lang,hasLinks,hasMedia,isRetweeted,isQuoted,viewCount,bookmarkCount,hasHashtags,userId,displayName,userDescription,verified,createDate,followerCount,friendCount,userLocation,rawContent,compound,pos,neu,neg
0,1311816862947184645,2020-10-01,https://twitter.com/bsadams25/status/1311816862947184645,174,8,131,338,4,en,False,False,False,False,,0,False,561549614,💧sandyj,Family Fun Foods Fairness and Always a Huge fan of Julia Gillard,False,2012-04-23,5478,3427,,"Morrison Gov had several months to implement an Aged Care plan, and didn’t ...didn’t have to throw it together in a couple days like Vic Gov did with Hotel quarantine. #Covid",0.6908,0.241,0.759,0.0
1,1311811128792682498,2020-10-01,https://twitter.com/21WIRE/status/1311811128792682498,279,67,200,503,11,en,False,False,False,False,,7,True,16936686,Patrick Henningsen,"Geopolitical analyst, indy journo & host: https://t.co/K2aNwqmbQP, https://t.co/kfyUgTSV4Y & https://t.co/LIaOhQKuCY, fierce critic of MSM propaganda, ❤️’in the Old Normal. https://t.co/YliYe40pMr",False,2008-10-23,111951,3325,"Arizona, USA","Just interviewed 2 people from 🇪🇸 #Spain and I have to say that the country has fallen down an Alice in Wonderland #COVID rabbit hole, and I can't see it coming back anytime soon. 

The country is #mask crazy. Snitching, mandatory in cars, under threat of 600 euro fines, insane.",-0.8658,0.037,0.652,0.312
2,1311805300345888768,2020-10-01,https://twitter.com/DanMulhall/status/1311805300345888768,227,9,146,602,6,en,False,False,False,True,,2,True,1567967160,Daniel Mulhall,"Ex. Irish Ambassador to US, UK, Germany. Ex. @GIHNYU. Hon. Pres. @yeatssocietyirl Parnell Fellow @magdalenealumni. @dla_piper Enquiries: mulhalld88@gmail.com",False,2013-07-04,37128,3743,Dublin & Cambridge,New York is now using a #Covid tracker App which was developed in #Ireland by @NearForm @Cianomaidin. A superb achievement by a #Waterford-based company. An illustration of how Irish companies are doing great things in the USA.,0.8481,0.313,0.687,0.0
3,1311797338483064832,2020-10-01,https://twitter.com/B52Malmet/status/1311797338483064832,278,38,204,653,4,en,False,False,False,False,,2,False,2876041031,Barbara Malmet,"Artist, Activist, TriAthlete, Producer #GetInGoodTrouble🇺🇸",False,2014-11-14,303533,7309,"New York, NY",You know who has not been seen in public since March? You know who has people quarantine for two weeks before seeing him? You know who has anyone get that far be doused in disinfectant before they see him in person? PUTIN. Putin is afraid of #covid but Donald isn’t? So strange.,0.1511,0.058,0.942,0.0
4,1311792210669637632,2020-10-01,https://twitter.com/SenJackReed/status/1311792210669637632,218,20,67,151,7,en,False,False,False,False,,0,True,486694111,Senator Jack Reed,Official Twitter feed of Rhode Island’s U.S. Senator Jack Reed. Chairman of the Senate Armed Services Committee.,False,2012-02-08,111259,51,"Providence, Rhode Island",Senate Republicans are rushing the process to install an extremist #SCOTUS Justice but they are in no rush whatsoever to help families &amp; communities who’ve been hit hardest by Trump Admin’s mismanagement of #COVID.,0.7269,0.243,0.757,0.0
5,1311787462088364033,2020-10-01,https://twitter.com/AgentP22/status/1311787462088364033,91,3,22,90,3,en,False,True,False,False,,1,True,835608547,Agent P,"#ProUK
#AntiSNP",False,2012-09-20,45416,3960,United Kingdom,"SNP MP Margaret Ferrier broke #COVID rules 5 times.

#resignFerrier https://t.co/w4ZjMbaygh",-0.4215,0.0,0.741,0.259
6,1311784480009576448,2020-10-01,https://twitter.com/Miss_Poulton/status/1311784480009576448,304,4,0,80,0,en,False,True,False,False,,0,True,473851577,Jade Slusarczyk,TV Presenter / Sky Sports Walk-On Girl..... Snooker Shootout/Mosconi Cup Pool/Darts,False,2012-01-25,7030,993,,"✨♡ In a World where you can be anything
Be  Y O U R S E L F  &amp;  Always Be #Kind❤️♡✨

#Presenter #Model #WalkOnGirl #Quarantine #lockdown #COVID #Snooker #SnookerShootout #Pool #MosconiCup #RingGirls #Boxing #Darts #Family #Love #Photoshoot #Presenting #Filming #Eurosport #GMB https://t.co/QwbQGSSpFQ",0.8225,0.248,0.752,0.0
7,1311762440913330196,2020-10-01,https://twitter.com/Walkabout24/status/1311762440913330196,234,6,16,58,1,en,False,False,False,False,,0,True,175724046,Walkabout,"I used to tweet about walking, I now tweet about the  tyranny the propaganda, and the lies. #NoMoreLockdowns #NoMasks #freedom",False,2010-08-07,35798,16943,Yorks,Soon the time will come when far more people will know someone who's unemployed than someone who's had #covid. Unemployment doesn't only last for a few days; if you think long covid is bad wait until you catch long-term #unemployment.,-0.8519,0.0,0.683,0.317
8,1311756957334728704,2020-10-01,https://twitter.com/itsmeeraclark/status/1311756957334728704,154,4,2,72,1,en,False,False,False,False,,2,False,1110646170966261764,M E E R A,investor at @Redpoint | people & the planet = my passion 💃🏽🕺🏽🪩 | previously obvious x morgan stanley x stanford | enfj | she / her,False,2019-03-26,5289,409,"San Francisco, CA","1/3 🚨🚨🚨 HAWT TAKE 🚨🚨🚨

My greatest early stage investment insight of #Covid: The highest ROI use of your 20s is spent investing in female friendships 💛💚💙🤍",0.7783,0.312,0.688,0.0
9,1311756915412791296,2020-10-01,https://twitter.com/JohannaSaunders/status/1311756915412791296,280,4,23,76,1,en,False,False,False,False,,0,False,99188075,Johanna Saunders 🕷🐇,Mama & Aêva / Serious Annoyance / Carer / Sweary! #European #Rejoin #Climate #Woke #FBPE #BunnyHugger #BLM 💚🇪🇺🌱,False,2009-12-24,25246,19114,"Cotswolds, England","I don’t particularly care who you are or which party you belong to, if you jeopardise lives through reckless, foolish, ignorant or plain selfish behaviour, it is your moral duty to resign.
Because of a lack of these morals to date, people will continue to ignore the rules.
#Covid",-0.9613,0.0,0.415,0.585
10,1311756386183901184,2020-10-01,https://twitter.com/MatthewGreenNDP/status/1311756386183901184,299,3,29,91,1,en,False,True,False,False,,0,True,17823761,Matthew Green 🍊📈✊🏾,MP for Hamilton Centre https://t.co/fmVDliMQbF.                       #AntiRacist #AntiFascist,False,2008-12-03,44366,25983,"Hamilton, Ontario",Today I honoured #NationalSeniorsDay by raising the tragic fact that 80% of the 9297 deaths (@NoLore) that have happened during #COVID have been associated with #LongTermCare facilities and the need for a nationalized PUBLIC health care in the long-term care sector. #cdnpoli https://t.co/eXOeuqU3Rl,0.765,0.294,0.613,0.092
11,1311755641107644418,2020-10-01,https://twitter.com/IrelandinNY/status/1311755641107644418,283,0,23,83,2,en,False,False,False,True,,0,True,374873146,Irish Consulate NYC,"The Consulate General of Ireland in New York. We promote Ireland's interests and values in NY, NJ, CT, DE, PA & OH. Twitter Policy: https://t.co/iOuhxAGrll",False,2011-09-17,25904,8170,"New York, USA","Congratulations to Irish app developer @NearForm on the successful launch of #NewYork's new #COVID Alert app! 

This app will track the virus while protecting privacy + is compatible with similar apps launched in #NewJersey, #Pennsylvania &amp; #Delaware.

#IrishAdvantage @EI_theUSA",0.8932,0.337,0.663,0.0
12,1311751767655243776,2020-10-01,https://twitter.com/ANI/status/1311751767655243776,288,42,30,238,33,en,False,False,False,True,,0,True,355989081,ANI,"Asian News International. Multi-media news agency, content for information platforms: TV, Internet, broadband, newspapers, mobiles https://t.co/eEMPAbAcms",False,2011-08-16,7714345,0,India,"Government of India took a series of measures for ensuring safety, security &amp; wellbeing of women during #COVID. It included one-stop crisis centres to provide medical, psychological, legal, police &amp; shelter facilities to women under common roof: Union Minister Smriti Irani 
#UNGA",0.4019,0.221,0.677,0.103
13,1311736090999623681,2020-10-01,https://twitter.com/sdbaral/status/1311736090999623681,304,8,34,229,2,en,False,True,False,False,,4,False,28878347,Stefan Baral,"🇨🇦🇸🇪,MD,MPH
FRCPC (CM) & CCFP (Fam Med), 🏳️‍🌈 ally
No COI
Papers: https://t.co/FQjCu7BsNE
Course: https://t.co/yLabiMSsvj
COVID Talk: https://t.co/u1t1lAc0vT",False,2009-04-04,49752,3271,I'm right here!,"Just so we're clear:

One can be both anti-pandemic and anti-zero #COVID.  

While I don't advertise, I have been face-to-face with this virus in clinical settings since March.

It's from that experience seeing such inequities, I know this response to be misguided in many places. https://t.co/ThaJvTWZvF",0.3818,0.115,0.885,0.0
14,1311735557383507968,2020-10-01,https://twitter.com/DaneParkerLab/status/1311735557383507968,164,6,34,94,8,en,True,False,False,False,,11,True,1255161017144918017,Dane Parker,Laboratory of Dane Parker🇦🇺@Rutgers_NJMS #hostpathogen #innateimmunity #interferons #Staphylococcus aureus and #Acinetobacter baumannii #trainedimmunity #lung,False,2020-04-28,3009,423,"Newark, NJ USA","Intranasal vaccination might be the key for sterilizing immunity to SARS-Co-V2!
https://t.co/0BAR775Boa @CellPressNews @WUSTLmed  #vaccine #COVID19 #COVID #SARSCoV2",0.0,0.0,1.0,0.0
15,1311732438305996801,2020-10-01,https://twitter.com/politico/status/1311732438305996801,301,38,42,88,8,en,True,True,False,False,,0,False,9300262,POLITICO,"Politics. Policy. Power.
Congress nerds 👉 @politicongress 
Longreads and opinions 👉 @politicomag
Got a news tip? 👉 https://t.co/JBzpu58Gx6",False,2007-10-08,4625957,1201,"Washington, D.C.","Pelosi cast serious doubt on the likelihood of an agreement during a private call with House Dems Thursday, stressing that Republicans don’t “share our values” on the need to provide trillions of dollars in health and economic #Covid relief to Americans https://t.co/aXpwSrVhtw https://t.co/GzB38DtOB1",-0.2837,0.181,0.518,0.301
16,1311730987878023173,2020-10-01,https://twitter.com/GlennBBC/status/1311730987878023173,242,98,66,148,28,en,True,False,False,False,,0,False,126363977,Glenn Campbell,"Political Editor, BBC Scotland News 📺 🎙📲 @BBCScotlandNews Holyrood, Westminster & westerin’ home to Islay glenn.campbell@bbc.co.uk",False,2010-03-25,46187,1747,"Scotland, mostly","The SNP has suspended MP @MargaretFerrier from membership for breaking #covid rules

She travelled from Westminster to Scotland by train after testing positive for the virus

Conservatives are demanding her resignation https://t.co/xaHWghnLDr",-0.3818,0.145,0.565,0.29
